ANO,CODMUNRES,SUICIDES
2015,314590,4
2015,314600,6
2015,314610,4
2015,314625,1
2015,314630,3
2015,314640,1
2015,314650,1
2015,314675,1
2015,314690,1
2015,314700,3
2015,314710,12
2015,314730,1
2015,314740,1
2015,314760,2
2015,314790,12
2015,314800,16
2015,314810,10
2015,314840,1
2015,314850,1
2015,314860,1
2015,314890,1
2015,314930,2
2015,314980,1
2015,314990,6
2015,314995,1
2015,315030,1
2015,315050,2
2015,315057,1
2015,315080,3
2015,315100,1
2015,315140,2
2015,315150,1
2015,315170,4
2015,315180,12
2015,315190,1
2015,315200,7
2015,315210,3
2015,315220,3
2015,315240,1
2015,315250,5
2015,315280,2
2015,315320,2
2015,315340,2
2015,315350,1
2015,315400,1
2015,315420,3
2015,315440,1
2015,315445,1
2015,315460,17
2015,315470,1
2015,315490,2
2015,315560,1
2015,315570,1
2015,315580,2
2015,315630,1
2015,315670,5
2015,315680,1
2015,315690,1
2015,315720,1
2015,315725,1
2015,315737,2
2015,315780,6
2015,315790,1
2015,315800,1
2015,315850,2
2015,315870,1
2015,315920,2
2015,315930,1
2015,315935,1
2015,315940,1
2015,315960,2
2015,315980,1
2015,315990,1
2015,316000,1
2015,316010,1
2015,316040,6
2015,316070,2
2015,316150,1
2015,316180,3
2015,316190,1
2015,316200,2
2015,316240,1
2015,316245,1
2015,316250,5
2015,316270,1
2015,316280,1
2015,316290,1
2015,316295,1
2015,316350,1
2015,316370,6
2015,316390,2
2015,316400,1
2015,316430,6
2015,316447,1
2015,316460,1
2015,316470,3
2015,316480,1
2015,316500,1
2015,316510,1
2015,316520,1
2015,316553,1
2015,316557,1
2015,316570,1
2015,316630,1
2015,316680,1
2015,316695,2
2015,316700,1
2015,316720,16
2015,316780,1
2015,316800,2
2015,316810,1
2015,316840,1
2015,316850,1
2015,316860,6
2015,316870,4
2015,316880,1
2015,316900,1
2015,316930,6
2015,316935,3
2015,316940,1
2015,316950,1
2015,316960,1
2015,316970,1
2015,316980,1
2015,316990,9
2015,317005,1
2015,317010,19
2015,317020,39
2015,317040,5
2015,317043,2
2015,317047,2
2015,317052,1
2015,317060,1
2015,317070,10
2015,317075,2
2015,317080,1
2015,317103,1
2015,317107,1
2015,317120,3
2015,317130,4
2015,317170,2
2015,317200,3
2015,320000,1
2015,320010,4
2015,320013,2
2015,320016,1
2015,320020,1
2015,320030,1
2015,320060,3
2015,320070,3
2015,320080,1
2015,320090,4
2015,320115,1
2015,320120,11
2015,320130,13
2015,320140,3
2015,320150,7
2015,320190,5
2015,320210,3
2015,320225,1
2015,320230,3
2015,320240,3
2015,320250,1
2015,320260,3
2015,320290,1
2015,320300,2
2015,320305,1
2015,320313,1
2015,320320,7
2015,320340,2
2015,320360,1
2015,320390,9
2015,320410,2
2015,320430,1
2015,320435,4
2015,320440,2
2015,320450,1
2015,320455,3
2015,320460,1
2015,320465,1
2015,320470,1
2015,320490,4
2015,320500,20
2015,320503,3
2015,320506,3
2015,320510,2
2015,320515,1
2015,320520,23
2015,320530,18
2015,330000,5
2015,330010,10
2015,330020,5
2015,330022,1
2015,330023,2
2015,330030,1
2015,330040,6
2015,330045,10
2015,330050,1
2015,330060,4
2015,330070,6
2015,330080,1
2015,330100,21
2015,330110,2
2015,330130,2
2015,330140,1
2015,330160,1
2015,330170,27
2015,330185,1
2015,330190,6
2015,330200,3
2015,330220,2
2015,330225,1
2015,330227,3
2015,330240,9
2015,330250,9
2015,330260,4
2015,330270,6
2015,330280,1
2015,330285,7
2015,330290,1
2015,330310,2
2015,330320,7
2015,330330,22
2015,330340,10
2015,330350,18
2015,330360,2
2015,330370,1
2015,330385,2
2015,330390,18
2015,330395,1
2015,330400,1
2015,330411,1
2015,330414,6
2015,330420,4
2015,330430,1
2015,330450,1
2015,330452,6
2015,330455,199
2015,330470,3
2015,330475,1
2015,330480,2
2015,330490,14
2015,330500,2
2015,330510,12
2015,330513,1
2015,330515,1
2015,330520,1
2015,330530,1
2015,330550,4
2015,330555,3
2015,330560,2
2015,330570,2
2015,330580,4
2015,330590,1
2015,330600,3
2015,330610,5
2015,330615,1
2015,330630,7
2015,350000,6
2015,350010,3
2015,350020,1
2015,350030,2
2015,350070,6
2015,350080,1
2015,350100,4
2015,350115,1
2015,350140,1
2015,350160,16
2015,350170,2
2015,350180,1
2015,350190,8
2015,350200,2
2015,350210,2
2015,350220,1
2015,350275,2
2015,350280,10
2015,350290,3
2015,350315,1
2015,350320,15
2015,350330,4
2015,350370,4
2015,350380,3
2015,350390,3
2015,350400,6
2015,350410,14
2015,350420,1
2015,350450,12
2015,350520,5
2015,350530,3
2015,350535,2
2015,350550,9
2015,350560,1
2015,350570,10
2015,350580,1
2015,350590,4
2015,350600,29
2015,350610,5
2015,350630,4
2015,350635,6
2015,350640,1
2015,350650,6
2015,350660,2
2015,350670,1
2015,350700,1
2015,350710,2
2015,350715,1
2015,350740,2
2015,350750,11
2015,350760,6
