,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total,MUNCOD
442,0,0,1,0,0,2,0,0,0,0,0,3,210083
443,0,0,1,0,0,0,2,0,0,0,0,3,210087
444,0,0,1,0,1,1,1,0,1,0,0,5,210090
445,0,1,2,0,0,1,3,2,1,2,4,16,210095
446,0,0,2,0,1,2,0,2,1,0,2,10,210100
447,0,0,0,0,0,1,0,0,1,0,1,3,210110
448,8,8,8,6,11,11,3,2,7,3,8,75,210120
449,1,1,0,1,0,1,0,0,0,1,0,5,210125
450,0,0,0,0,1,0,0,1,2,1,1,6,210130
451,3,3,3,5,4,5,4,8,13,3,6,57,210140
452,0,1,0,3,1,4,4,2,0,4,0,19,210150
453,5,6,5,7,5,5,3,6,3,6,7,58,210160
454,0,1,0,0,1,1,1,3,5,0,2,14,210170
455,0,0,0,0,0,0,0,0,1,0,0,1,210177
456,1,1,0,0,0,0,0,0,0,0,1,3,210173
457,0,0,0,0,0,0,1,1,0,1,0,3,210180
458,0,0,0,1,0,1,0,0,0,0,0,2,210190
459,0,1,1,0,1,0,0,0,1,0,0,4,210193
460,0,0,0,0,0,0,1,0,0,0,0,1,210197
461,1,0,0,2,1,2,0,3,0,2,1,12,210200
462,3,1,1,2,0,1,1,1,4,1,2,17,210203
463,0,1,0,0,0,0,0,0,1,1,0,3,210207
464,0,0,1,3,3,0,1,2,2,3,1,16,210210
465,0,0,1,0,0,0,0,1,1,1,1,5,210215
466,0,0,0,1,3,0,2,1,0,2,2,11,210220
467,1,1,2,1,0,0,3,2,2,4,0,16,210230
468,2,1,1,1,1,0,1,0,1,1,1,10,210232
469,0,0,0,2,0,0,0,1,0,0,2,5,210235
470,0,0,0,0,0,1,0,0,1,1,0,3,210240
471,0,0,1,1,0,0,0,0,0,1,0,3,210250
472,0,0,0,1,1,0,0,4,2,1,1,10,210255
